status,content_class,sitemap,source_url,resolved_url,canonical_url,wordpress_id,last_modified,title,text_chars,headings,images,embeds,downloads,internal_links,external_links,warnings,error
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/11/,https://www.ccf.org.ph/message-category/afternoon/page/11/,https://www.ccf.org.ph/message-category/afternoon/page/11/,57,,Afternoon Archives - Page 11 of 13 - Christ's Commission Fellowship,1961,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/12/,https://www.ccf.org.ph/message-category/afternoon/page/12/,https://www.ccf.org.ph/message-category/afternoon/page/12/,57,,Afternoon Archives - Page 12 of 13 - Christ's Commission Fellowship,2143,10,9,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/13/,https://www.ccf.org.ph/message-category/afternoon/page/13/,https://www.ccf.org.ph/message-category/afternoon/page/13/,57,,Afternoon Archives - Page 13 of 13 - Christ's Commission Fellowship,2464,8,8,0,0,22,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/2/,https://www.ccf.org.ph/message-category/afternoon/page/2/,https://www.ccf.org.ph/message-category/afternoon/page/2/,57,,Afternoon Archives - Page 2 of 13 - Christ's Commission Fellowship,2752,10,9,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/3/,https://www.ccf.org.ph/message-category/afternoon/page/3/,https://www.ccf.org.ph/message-category/afternoon/page/3/,57,,Afternoon Archives - Page 3 of 13 - Christ's Commission Fellowship,2589,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/4/,https://www.ccf.org.ph/message-category/afternoon/page/4/,https://www.ccf.org.ph/message-category/afternoon/page/4/,57,,Afternoon Archives - Page 4 of 13 - Christ's Commission Fellowship,1574,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/5/,https://www.ccf.org.ph/message-category/afternoon/page/5/,https://www.ccf.org.ph/message-category/afternoon/page/5/,57,,Afternoon Archives - Page 5 of 13 - Christ's Commission Fellowship,482,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/6/,https://www.ccf.org.ph/message-category/afternoon/page/6/,https://www.ccf.org.ph/message-category/afternoon/page/6/,57,,Afternoon Archives - Page 6 of 13 - Christ's Commission Fellowship,478,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/7/,https://www.ccf.org.ph/message-category/afternoon/page/7/,https://www.ccf.org.ph/message-category/afternoon/page/7/,57,,Afternoon Archives - Page 7 of 13 - Christ's Commission Fellowship,527,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/8/,https://www.ccf.org.ph/message-category/afternoon/page/8/,https://www.ccf.org.ph/message-category/afternoon/page/8/,57,,Afternoon Archives - Page 8 of 13 - Christ's Commission Fellowship,742,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/9/,https://www.ccf.org.ph/message-category/afternoon/page/9/,https://www.ccf.org.ph/message-category/afternoon/page/9/,57,,Afternoon Archives - Page 9 of 13 - Christ's Commission Fellowship,2160,10,10,0,0,23,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/be-rooted/page/2/,https://www.ccf.org.ph/message-category/be-rooted/page/2/,https://www.ccf.org.ph/message-category/be-rooted/page/2/,226,,Be Rooted Archives - Page 2 of 2 - Christ's Commission Fellowship,259,2,2,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/changemakers/page/2/,https://www.ccf.org.ph/message-category/changemakers/page/2/,https://www.ccf.org.ph/message-category/changemakers/page/2/,293,,Changemakers Archives - Page 2 of 2 - Christ's Commission Fellowship,1481,4,4,0,0,7,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/christ-is-supreme/page/2/,https://www.ccf.org.ph/message-category/christ-is-supreme/page/2/,https://www.ccf.org.ph/message-category/christ-is-supreme/page/2/,116,,Christ is Supreme Archives - Page 2 of 3 - Christ's Commission Fellowship,760,10,7,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/christ-is-supreme/page/3/,https://www.ccf.org.ph/message-category/christ-is-supreme/page/3/,https://www.ccf.org.ph/message-category/christ-is-supreme/page/3/,116,,Christ is Supreme Archives - Page 3 of 3 - Christ's Commission Fellowship,1039,5,3,0,0,9,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/end-game/page/2/,https://www.ccf.org.ph/message-category/end-game/page/2/,https://www.ccf.org.ph/message-category/end-game/page/2/,266,,End Game Archives - Page 2 of 2 - Christ's Commission Fellowship,626,2,2,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/extraordinary/page/2/,https://www.ccf.org.ph/message-category/extraordinary/page/2/,https://www.ccf.org.ph/message-category/extraordinary/page/2/,143,,Extraordinary Archives - Page 2 of 2 - Christ's Commission Fellowship,1509,9,5,0,0,12,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/jesus-unboxed/page/2/,https://www.ccf.org.ph/message-category/jesus-unboxed/page/2/,https://www.ccf.org.ph/message-category/jesus-unboxed/page/2/,56,,Jesus Unboxed Archives - Page 2 of 3 - Christ's Commission Fellowship,2972,10,10,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/jesus-unboxed/page/3/,https://www.ccf.org.ph/message-category/jesus-unboxed/page/3/,https://www.ccf.org.ph/message-category/jesus-unboxed/page/3/,56,,Jesus Unboxed Archives - Page 3 of 3 - Christ's Commission Fellowship,1889,7,7,0,0,11,0,,
